seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k141_281310	1137	No terminal repeats	2	11	0.9908	NA	2	3.1992	F_traE;F_traK	NA
k141_347012	4051	No terminal repeats	5	11	0.9907	NA	0	3.0921	NA	NA
k141_198504	1117	No terminal repeats	2	11	0.9906	NA	1	2.9354	F_traF	NA
k141_181861	1403	No terminal repeats	1	11	0.9905	NA	1	1.7183	MOBP1	NA
k141_29435	1396	No terminal repeats	3	11	0.9905	NA	1	2.3418	NA	NA
k141_9580	1862	No terminal repeats	4	11	0.9904	NA	1	2.8699	MOBV	NA
k141_231730	3847	No terminal repeats	3	11	0.9904	NA	0	3.4329	NA	NA
k141_357326	2949	No terminal repeats	4	11	0.9902	NA	2	2.8640	MOBP1	NA
k141_285258	3162	No terminal repeats	5	11	0.9902	NA	0	4.1341	NA	NA
k141_124441	13106	No terminal repeats	11	11	0.9901	NA	1	5.5466	t4cp2	NA
k141_17114	3303	No terminal repeats	4	11	0.9900	NA	2	3.2261	MOBQ	NA
k141_156246	3044	No terminal repeats	4	11	0.9899	NA	0	1.7183	NA	NA
k141_260274	2036	No terminal repeats	5	11	0.9899	NA	1	2.0761	NA	NA
k141_269037	1563	No terminal repeats	3	11	0.9899	NA	2	2.9681	F_traW	NA
k141_400831	5089	No terminal repeats	5	11	0.9899	NA	0	2.6894	NA	NA
k141_393475	2503	No terminal repeats	3	11	0.9898	NA	1	1.7056	MOBC	NA
k141_357456	3114	No terminal repeats	5	11	0.9896	NA	1	3.3446	NA	NA
k141_5063	3366	No terminal repeats	3	11	0.9895	NA	0	1.7183	NA	NA
k141_210001	1331	No terminal repeats	3	11	0.9894	NA	1	2.2083	NA	NA
k141_272734	2918	No terminal repeats	5	11	0.9892	NA	0	3.0661	NA	NA
k141_385056	6959	No terminal repeats	9	11	0.9892	NA	2	3.2308	MOBP2	NA
k141_173627	12422	No terminal repeats	14	11	0.9892	NA	1	2.9794	NA	NA
k141_189406	1744	No terminal repeats	2	11	0.9892	NA	1	0.9293	NA	NA
k141_292632	3350	No terminal repeats	3	11	0.9891	NA	0	2.3534	NA	NA
k141_172975	1411	No terminal repeats	2	11	0.9891	NA	1	2.7381	NA	NA
k141_252153	2345	No terminal repeats	3	11	0.9891	NA	2	2.9639	NA	NA
k141_233747	1492	No terminal repeats	2	11	0.9891	NA	1	1.7183	NA	NA
k141_190265	1093	No terminal repeats	2	11	0.9891	NA	1	1.7183	NA	NA
k141_259848	3572	No terminal repeats	5	11	0.9889	NA	0	1.7084	NA	NA
k141_24103	6184	DTR	8	11	0.9889	NA	2	6.1057	NA	NA
k141_340027	2819	No terminal repeats	8	11	0.9887	NA	0	3.3725	NA	NA
k141_126223	1524	No terminal repeats	2	11	0.9887	NA	2	2.3083	T_virB8;T_virB9	NA
k141_366380	3326	No terminal repeats	6	11	0.9886	NA	4	4.9376	T_virB5;T_virB6;T_virB8;T_virB9	NA
k141_206737	5373	No terminal repeats	5	11	0.9886	NA	0	1.4207	NA	NA
k141_383491	1880	No terminal repeats	5	11	0.9886	NA	3	4.9288	F_traL;F_traE	NA
k141_379341	2145	No terminal repeats	4	11	0.9885	NA	3	3.8095	virb4;T_virB3	NA
k141_366698	1017	No terminal repeats	3	11	0.9885	NA	1	3.4366	NA	NA
k141_389041	1374	No terminal repeats	3	11	0.9884	NA	1	1.4739	NA	NF000496
k141_124480	2508	No terminal repeats	3	11	0.9883	NA	2	1.2780	MOBP1	NA
k141_116196	2324	No terminal repeats	5	11	0.9883	NA	3	5.6830	F_traW	NA
k141_403395	1592	No terminal repeats	3	11	0.9881	NA	1	1.4079	NA	NA
k141_286094	1252	No terminal repeats	1	11	0.9881	NA	1	0.9943	NA	NA
k141_171730	3004	No terminal repeats	3	11	0.9880	NA	0	3.2236	NA	NA
k141_286901	2628	No terminal repeats	5	11	0.9880	NA	0	2.7485	NA	NA
k141_363220	1017	No terminal repeats	1	11	0.9873	NA	1	1.7183	NA	NA
k141_122834	2841	No terminal repeats	6	11	0.9872	NA	1	1.7183	NA	NA
k141_29983	4190	No terminal repeats	2	11	0.9872	NA	0	3.3441	NA	NA
k141_261928	12356	No terminal repeats	18	11	0.9871	NA	0	7.6892	NA	NA
k141_96844	11274	No terminal repeats	14	11	0.9870	NA	1	4.6064	t4cp2	NA
k141_206563	4931	No terminal repeats	6	11	0.9870	NA	0	3.3249	NA	NA
k141_88383	1039	No terminal repeats	3	11	0.9870	NA	1	3.4366	NA	NA
k141_281286	3218	No terminal repeats	5	11	0.9869	NA	0	1.0779	NA	NA
k141_257432	6041	No terminal repeats	5	11	0.9868	NA	0	4.3067	NA	NA
k141_383313	4004	No terminal repeats	4	11	0.9866	NA	1	2.6481	NA	NA
k141_88779	3563	No terminal repeats	4	11	0.9866	NA	0	3.0056	NA	NA
k141_84528	1013	No terminal repeats	2	11	0.9864	NA	1	1.4079	NA	NA
k141_290084	2286	No terminal repeats	3	11	0.9862	NA	1	1.3764	NA	NA
k141_84414	3959	No terminal repeats	5	11	0.9861	NA	0	0.9642	NA	NA
k141_344380	1002	No terminal repeats	3	11	0.9860	NA	2	4.0951	F_traU;F_traW	NA
k141_215555	3820	No terminal repeats	3	11	0.9859	NA	0	3.3441	NA	NA
k141_332833	2664	No terminal repeats	3	11	0.9857	NA	0	1.7115	NA	NA
k141_401128	2389	No terminal repeats	3	11	0.9857	NA	2	3.3593	F_traV;virb4	NA
k141_387046	3129	No terminal repeats	4	11	0.9856	NA	1	4.3650	NA	NA
k141_374468	4237	No terminal repeats	4	11	0.9856	NA	0	1.7183	NA	NA
k141_47101	8115	No terminal repeats	9	11	0.9853	NA	3	4.5475	T_virB3;virb4	NA
k141_115207	1051	No terminal repeats	2	11	0.9852	NA	1	1.7183	NA	NA
k141_50187	18041	No terminal repeats	16	11	0.9852	NA	3	5.4568	MOBQ	NA
k141_156416	1099	No terminal repeats	1	11	0.9851	NA	1	0.8575	NA	NA
k141_49349	5248	No terminal repeats	4	11	0.9850	NA	1	4.3650	NA	NA
k141_397789	5566	No terminal repeats	5	11	0.9849	NA	0	3.2236	NA	NA
k141_272657	1135	No terminal repeats	1	11	0.9849	NA	1	1.4636	F_traE	NA
k141_391916	8061	No terminal repeats	9	11	0.9846	NA	1	5.7342	NA	NA
k141_347656	2418	No terminal repeats	4	11	0.9846	NA	1	2.0896	NA	NA
k141_181135	1129	No terminal repeats	2	11	0.9844	NA	1	2.6796	G_tfc3	NA
k141_398596	6639	No terminal repeats	11	11	0.9842	NA	0	4.3121	NA	NA
k141_402734	3486	No terminal repeats	9	11	0.9842	NA	1	3.0794	NA	NA
k141_94840	2312	No terminal repeats	3	11	0.9842	NA	1	1.2929	MOBV	NA
k141_256921	3872	No terminal repeats	7	11	0.9840	NA	1	1.6480	NA	NA
k141_357366	2617	No terminal repeats	3	11	0.9840	NA	1	1.1540	NA	NA
k141_206120	5109	No terminal repeats	8	11	0.9839	NA	0	6.1792	NA	NA
k141_114968	4324	No terminal repeats	5	11	0.9837	NA	0	1.2780	NA	NA
k141_168340	3371	No terminal repeats	4	11	0.9837	NA	0	1.6585	NA	NA
k141_345846	3867	No terminal repeats	4	11	0.9836	NA	1	4.3635	NA	NA
k141_314398	5942	No terminal repeats	6	11	0.9836	NA	3	4.8260	G_tfc2;G_tfc3;T_virB1	NA
k141_148824	1198	No terminal repeats	3	11	0.9835	NA	1	1.4225	NA	NA
k141_316048	2135	No terminal repeats	3	11	0.9834	NA	1	4.6067	NA	NA
k141_284460	1361	No terminal repeats	1	11	0.9833	NA	1	0.6562	NA	NA
k141_404872	3016	No terminal repeats	4	11	0.9832	NA	0	3.6966	NA	NA
k141_277208	2631	No terminal repeats	4	11	0.9830	NA	0	2.5429	NA	NA
k141_281980	1377	No terminal repeats	1	11	0.9829	NA	1	0.6562	NA	NA
k141_26056	1845	No terminal repeats	2	11	0.9828	NA	1	1.7183	MOBC	NA
k141_227280	2457	No terminal repeats	4	11	0.9825	NA	1	1.7183	NA	NA
k141_364169	14066	No terminal repeats	15	11	0.9823	NA	2	1.7072	FA_orf13;FA_orf15	NA
k141_88086	1409	No terminal repeats	2	11	0.9823	NA	1	0.9020	NA	NA
k141_392920	1863	No terminal repeats	3	11	0.9822	NA	1	1.7183	NA	NA
k141_238876	1400	No terminal repeats	3	11	0.9822	NA	2	0.5619	T_virB3;T_virB2;T_virB11	NA
k141_67896	2777	No terminal repeats	4	11	0.9821	NA	0	3.4366	NA	NA
k141_132654	4748	No terminal repeats	5	11	0.9820	NA	0	1.6845	NA	NA
k141_399931	4452	No terminal repeats	7	11	0.9818	NA	0	0.9943	NA	NA
k141_334475	1445	No terminal repeats	3	11	0.9816	NA	2	2.9639	NA	NA
k141_170642	2606	No terminal repeats	5	11	0.9813	NA	1	3.1819	F_traE	NA
k141_209713	1467	No terminal repeats	4	11	0.9812	NA	1	0.6562	NA	NA
k141_217731	3063	No terminal repeats	5	11	0.9811	NA	1	3.3446	NA	NA
k141_56622	1780	No terminal repeats	2	11	0.9808	NA	1	3.0391	NA	NA
k141_322459	11062	No terminal repeats	9	11	0.9808	NA	0	3.9470	NA	NA
k141_203377	2232	No terminal repeats	3	11	0.9807	NA	2	2.3794	F_trbC;F_traF	NA
k141_152776	5063	No terminal repeats	4	11	0.9807	NA	1	1.9436	NA	NA
k141_271476	1819	No terminal repeats	2	11	0.9805	NA	1	1.4963	NA	NA
k141_84876	1316	No terminal repeats	2	11	0.9804	NA	1	0.8585	MOBV	NA
k141_193214	2572	No terminal repeats	3	11	0.9803	NA	1	1.7183	NA	NA
k141_120123	2901	No terminal repeats	3	11	0.9803	NA	1	0.9372	NA	NA
k141_220672	3389	No terminal repeats	6	11	0.9801	NA	0	2.8248	NA	NA
k141_275873	1214	No terminal repeats	1	11	0.9801	NA	1	1.2722	MOBQ	NA
k141_230139	2640	No terminal repeats	6	11	0.9799	NA	0	3.3912	NA	NA
k141_277603	1362	No terminal repeats	2	11	0.9798	NA	2	2.4073	G_tfc24;G_tfc23	NA
k141_377777	2582	No terminal repeats	4	11	0.9797	NA	1	0.7495	NA	NA
k141_401185	3795	No terminal repeats	5	11	0.9797	NA	0	1.3448	NA	NA
k141_365819	1373	No terminal repeats	3	11	0.9797	NA	1	1.6960	NA	NA
k141_274986	15926	No terminal repeats	17	11	0.9794	NA	1	2.4835	NA	NA
k141_66194	5002	No terminal repeats	5	11	0.9794	NA	0	3.0108	NA	NA
k141_32157	1184	No terminal repeats	2	11	0.9792	NA	1	2.4199	t4cp2	NA
k141_162956	1532	No terminal repeats	2	11	0.9791	NA	1	0.9372	NA	NA
k141_342010	3474	No terminal repeats	5	11	0.9790	NA	0	1.5816	NA	NA
k141_271474	5135	No terminal repeats	6	11	0.9788	NA	0	1.6314	NA	NA
k141_117977	4538	No terminal repeats	5	11	0.9787	NA	0	1.5974	NA	NA
k141_207194	1067	No terminal repeats	2	11	0.9787	NA	1	3.1318	F_traE	NA
k141_192148	6034	No terminal repeats	4	11	0.9787	NA	0	2.2267	NA	NA
k141_111668	10397	No terminal repeats	10	11	0.9786	NA	0	4.7769	NA	NA
k141_14666	1232	No terminal repeats	2	11	0.9785	NA	1	0.9943	NA	NA
k141_191088	9262	No terminal repeats	9	11	0.9783	NA	1	3.3252	NA	NA
k141_342729	2920	No terminal repeats	4	11	0.9783	NA	0	4.4274	NA	NA
k141_142164	3792	No terminal repeats	5	11	0.9781	NA	3	3.2525	virb4;T_virB3;T_virB2	NA
k141_253549	4381	No terminal repeats	5	11	0.9780	NA	0	1.1625	NA	NA
k141_197444	1590	No terminal repeats	3	11	0.9777	NA	1	2.9766	NA	NA
k141_38378	1173	No terminal repeats	1	11	0.9773	NA	1	1.3112	MOBP1	NA
k141_162022	12863	No terminal repeats	13	11	0.9770	NA	4	3.4549	T_virB3;T_virB2;T_virB11;t4cp2	NA
k141_19161	1188	No terminal repeats	1	11	0.9769	NA	1	0.9020	NA	NA
k141_191464	3605	No terminal repeats	7	11	0.9768	NA	0	1.5026	NA	NA
k141_105728	2755	No terminal repeats	2	11	0.9766	NA	1	0.9372	NA	NA
k141_398302	1701	No terminal repeats	3	11	0.9765	NA	1	1.6557	NA	NA
k141_371097	1604	No terminal repeats	4	11	0.9763	NA	1	1.2722	MOBQ	NA
k141_41541	1854	No terminal repeats	2	11	0.9760	NA	2	2.4284	F_traF;F_traH	NA
k141_62900	3135	No terminal repeats	6	11	0.9757	NA	1	1.4636	F_traE	NA
k141_192003	5652	No terminal repeats	3	11	0.9756	NA	0	2.4452	NA	NA
k141_301167	3546	No terminal repeats	7	11	0.9753	NA	0	2.6990	NA	NA
k141_342136	3268	No terminal repeats	4	11	0.9748	NA	1	1.5023	NA	NA
k141_25738	1332	No terminal repeats	3	11	0.9748	NA	2	2.8983	T_virB3	NA
k141_185195	1291	No terminal repeats	1	11	0.9747	NA	1	1.3505	t4cp2	NA
k141_171342	1584	No terminal repeats	2	11	0.9745	NA	2	2.4284	F_traH;F_traF	NA
k141_203480	1227	No terminal repeats	2	11	0.9744	NA	1	3.1197	F_traE	NA
k141_109623	1388	No terminal repeats	1	11	0.9741	NA	1	1.7183	MOBF	NA
k141_389714	6489	No terminal repeats	6	11	0.9741	NA	0	2.0752	NA	NA
k141_216083	1159	No terminal repeats	2	11	0.9737	NA	1	1.6791	NA	NA
k141_114617	5796	No terminal repeats	9	11	0.9736	NA	0	1.9862	NA	NA
k141_137888	1682	No terminal repeats	3	11	0.9736	NA	1	0.4693	NA	NA
k141_212179	8927	No terminal repeats	11	11	0.9735	NA	3	3.4820	T_virB8;T_virB9;T_virB10	NA
k141_72507	2049	No terminal repeats	2	11	0.9732	NA	1	2.0411	F_traE	NA
k141_316008	6874	No terminal repeats	4	11	0.9731	NA	0	2.6087	NA	NA
k141_258168	12964	No terminal repeats	14	11	0.9729	NA	1	5.7731	NA	NA
k141_117699	4205	No terminal repeats	8	11	0.9728	NA	0	1.4737	NA	NA
k141_101080	3005	No terminal repeats	3	11	0.9728	NA	0	1.6450	NA	NA
k141_351881	1105	No terminal repeats	3	11	0.9725	NA	2	0.5619	T_virB11;T_virB2;T_virB3	NA
k141_122917	3346	No terminal repeats	4	11	0.9724	NA	1	1.9808	T_virB10	NA
k141_298155	1416	No terminal repeats	2	11	0.9723	NA	2	2.6529	F_traG;F_traG	NA
k141_163598	1025	No terminal repeats	1	11	0.9720	NA	1	0.9020	NA	NA
k141_310283	2269	No terminal repeats	2	11	0.9715	NA	1	0.8688	NA	NA
k141_194553	2402	No terminal repeats	4	11	0.9714	NA	1	0.9372	NA	NA
k141_164178	4693	No terminal repeats	4	11	0.9711	NA	0	0.4378	NA	NA
k141_244172	1923	No terminal repeats	2	11	0.9708	NA	1	1.5670	NA	NA
k141_394207	4366	No terminal repeats	6	11	0.9705	NA	0	2.6776	NA	NA
k141_28815	1632	No terminal repeats	1	11	0.9702	NA	1	1.3505	t4cp2	NA
k141_371573	2033	No terminal repeats	4	4	0.9697	NA	1	1.5654	NA	NA
k141_400098	4034	No terminal repeats	5	11	0.9697	NA	1	4.3650	NA	NA
k141_349861	2514	No terminal repeats	3	11	0.9696	NA	0	3.0940	NA	NA
k141_153988	3339	No terminal repeats	3	11	0.9694	NA	0	0.9537	NA	NA
k141_264312	2955	No terminal repeats	4	11	0.9692	NA	0	0.4125	NA	NA
k141_165683	7470	No terminal repeats	10	11	0.9684	NA	1	2.2913	NA	NA
k141_364996	3016	No terminal repeats	4	11	0.9682	NA	0	1.7183	NA	NA
k141_303947	3009	No terminal repeats	6	11	0.9681	NA	0	1.3221	NA	NA
k141_43392	6804	No terminal repeats	10	11	0.9676	NA	0	2.6776	NA	NA
k141_293292	5144	No terminal repeats	7	11	0.9674	NA	0	1.0577	NA	NA
k141_406059	1274	No terminal repeats	2	11	0.9673	NA	1	2.7245	MOBH	NA
k141_18091	3114	No terminal repeats	3	11	0.9672	NA	0	1.6314	NA	NA
k141_91983	3747	No terminal repeats	6	4	0.9672	NA	0	1.6349	NA	NA
k141_285532	1010	No terminal repeats	2	11	0.9668	NA	1	1.7183	NA	NA
k141_274280	3926	No terminal repeats	5	11	0.9667	NA	0	1.5166	NA	NA
k141_29273	2282	No terminal repeats	4	11	0.9665	NA	1	1.3753	NA	NA
k141_110384	2730	No terminal repeats	4	11	0.9665	NA	0	1.6314	NA	NA
k141_319080	1991	No terminal repeats	2	11	0.9665	NA	1	0.5528	NA	NA
k141_163928	1046	No terminal repeats	1	11	0.9661	NA	1	1.7114	NA	NA
k141_350333	4247	No terminal repeats	5	11	0.9660	NA	0	1.5906	NA	NA
k141_270760	1123	No terminal repeats	2	11	0.9659	NA	1	1.6924	NA	NA
k141_80714	3278	No terminal repeats	4	11	0.9658	NA	0	0.9219	NA	NA
k141_11331	2205	No terminal repeats	3	11	0.9657	NA	1	1.1540	NA	NA
k141_120662	1843	No terminal repeats	3	11	0.9657	NA	1	3.1696	G_tfc13;G_tfc14;G_tfc14	NA
k141_132975	4170	No terminal repeats	7	11	0.9654	NA	0	0.5052	NA	NA
k141_63418	18167	No terminal repeats	20	11	0.9653	NA	0	4.0433	NA	NA
k141_111352	6465	No terminal repeats	8	11	0.9651	NA	0	3.0360	NA	NA
k141_360790	6305	No terminal repeats	6	11	0.9648	NA	0	0.6017	NA	NA
k141_392247	1495	No terminal repeats	3	11	0.9647	NA	2	2.1927	MOBH	NA
k141_206780	4656	No terminal repeats	7	11	0.9641	NA	0	1.7183	NA	NA
k141_283527	1122	No terminal repeats	2	11	0.9641	NA	2	2.1023	G_tfc13;G_tfc12	NA
k141_190019	3679	No terminal repeats	5	11	0.9638	NA	0	1.4624	NA	NA
k141_393871	2196	No terminal repeats	1	11	0.9636	NA	1	1.2722	MOBQ	NA
k141_65005	15388	No terminal repeats	14	11	0.9636	NA	1	2.6503	NA	NA
k141_230039	3305	No terminal repeats	4	11	0.9635	NA	1	0.9372	NA	NA
k141_58357	2576	No terminal repeats	3	11	0.9633	NA	0	3.3540	NA	NA
k141_165558	5085	No terminal repeats	4	11	0.9632	NA	0	1.7183	NA	NA
k141_232708	3697	No terminal repeats	7	11	0.9630	NA	1	1.0859	NA	NA
k141_386678	6308	No terminal repeats	8	11	0.9629	NA	0	0.5404	NA	NA
k141_365232	2707	No terminal repeats	5	11	0.9617	NA	0	1.3046	NA	NA
k141_112508	1184	No terminal repeats	3	11	0.9615	NA	2	2.3575	T_virB5	NA
k141_382194	4821	No terminal repeats	6	11	0.9611	NA	0	1.1272	NA	NA
k141_243068	1067	No terminal repeats	2	11	0.9600	NA	1	0.6536	NA	NA
k141_232860	1772	No terminal repeats	1	11	0.9599	NA	1	0.9372	NA	NA
k141_265883	6132	No terminal repeats	8	11	0.9595	NA	0	2.1875	NA	NA
k141_320374	2944	No terminal repeats	6	11	0.9590	NA	0	1.2780	NA	NA
k141_253095	2928	No terminal repeats	5	11	0.9587	NA	1	1.9820	T_virB10	NA
k141_357966	13859	DTR	13	11	0.9584	NA	1	0.9020	NA	NA
