seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
k141_666082	5379	No terminal repeats	7	11	0.9945	NA	2	4.8235	MOBT	NA
k141_651077	4184	DTR	5	11	0.9945	NA	2	4.9444	MOBQ	NA
k141_382883	1176	No terminal repeats	2	11	0.9945	NA	2	3.3988	MOBP1	NA
k141_856736	1190	No terminal repeats	2	11	0.9945	NA	1	2.2707	MOBQ	NA
k141_1802482	2376	No terminal repeats	2	11	0.9944	NA	2	2.9699	MOBP1	NA
k141_29576	6321	No terminal repeats	7	11	0.9944	NA	1	4.0418	NA	NA
k141_542626	5096	No terminal repeats	3	11	0.9944	NA	0	2.3572	NA	NA
k141_1032924	2100	DTR	3	11	0.9944	NA	1	2.6533	NA	NA
k141_1423382	2883	No terminal repeats	4	11	0.9944	NA	1	3.4296	NA	NA
k141_5048	2505	No terminal repeats	3	11	0.9944	NA	1	2.7441	NA	NA
k141_2085838	4996	No terminal repeats	8	11	0.9944	NA	1	6.8699	MOBV	NA
k141_120386	7690	No terminal repeats	9	11	0.9944	NA	1	3.7090	NA	NA
k141_2186605	5703	DTR	5	11	0.9944	NA	1	3.7039	NA	NA
k141_308153	1491	No terminal repeats	3	11	0.9944	NA	1	2.5929	NA	NA
k141_1400586	1102	No terminal repeats	2	11	0.9944	NA	2	3.1408	MOBP1	NA
k141_2070	2074	No terminal repeats	2	11	0.9944	NA	2	1.5215	MOBV	NA
k141_366794	1704	No terminal repeats	2	11	0.9944	NA	2	3.1408	MOBP1	NA
k141_417911	4389	No terminal repeats	8	11	0.9944	NA	1	5.9851	NA	NA
k141_1458197	4673	No terminal repeats	6	11	0.9943	NA	1	3.8111	NA	NA
k141_442644	16131	No terminal repeats	16	11	0.9943	NA	2	25.0351	traU	NA
k141_518117	4996	No terminal repeats	6	11	0.9943	NA	3	6.4515	NA	NA
k141_1424930	31148	No terminal repeats	35	11	0.9943	NA	9	16.4968	t4cp2;T_virB11;T_virB2;T_virB3;virb4;T_virB5;T_virB6;T_virB8;T_virB9	NA
k141_54067	1565	No terminal repeats	3	11	0.9943	NA	1	2.9966	NA	NA
k141_551547	18410	No terminal repeats	21	11	0.9943	NA	4	17.5182	MOBB	NA
k141_1648366	1578	No terminal repeats	3	11	0.9943	NA	2	3.4302	MOBP1	NA
k141_1823611	2570	No terminal repeats	3	11	0.9943	NA	0	2.1556	NA	NA
k141_1097175	5096	DTR	8	11	0.9943	NA	3	3.4202	MOBP1	NA
k141_296415	4289	DTR	9	11	0.9943	NA	1	6.4809	NA	NA
k141_173578	3020	No terminal repeats	6	11	0.9942	NA	0	4.7574	NA	NA
k141_2183035	3499	No terminal repeats	3	11	0.9942	NA	2	4.4089	virb4	NA
k141_27631	3098	No terminal repeats	4	11	0.9942	NA	2	3.4366	MOBP1	NA
k141_605656	2771	No terminal repeats	3	11	0.9942	NA	0	2.9425	NA	NA
k141_570725	6363	No terminal repeats	8	11	0.9942	NA	1	5.1479	NA	NA
k141_1312896	9187	No terminal repeats	11	11	0.9942	NA	1	5.5631	NA	NA
k141_1925595	3886	No terminal repeats	9	11	0.9942	NA	2	7.3931	T_virB5	NA
k141_341965	21004	No terminal repeats	18	11	0.9942	NA	1	16.1774	NA	NA
k141_1269965	7325	No terminal repeats	11	11	0.9942	NA	0	5.2214	NA	NA
k141_212640	4573	No terminal repeats	7	11	0.9942	NA	2	4.0365	MOBP1	NA
k141_240811	2101	No terminal repeats	3	11	0.9942	NA	2	3.2373	MOBQ	NA
k141_351539	2630	No terminal repeats	1	11	0.9942	NA	1	1.7183	MOBP1	NA
k141_1379901	2663	No terminal repeats	3	11	0.9942	NA	2	3.2077	MOBQ	NA
k141_186127	3804	DTR	4	11	0.9942	NA	1	2.3952	NA	NA
k141_96111	6199	No terminal repeats	7	11	0.9941	NA	0	4.0595	NA	NA
k141_175044	1937	No terminal repeats	2	11	0.9941	NA	1	1.7183	NA	NA
k141_1727916	4390	No terminal repeats	10	11	0.9941	NA	0	5.8178	NA	NA
k141_1686989	1352	No terminal repeats	2	11	0.9941	NA	2	2.7641	MOBQ	NA
k141_79170	4673	No terminal repeats	7	11	0.9941	NA	2	3.2331	MOBV	NA
k141_2186680	5095	DTR	9	11	0.9941	NA	3	5.7581	MOBP1;MOBP1	NA
k141_303874	2107	No terminal repeats	7	11	0.9941	NA	2	4.9886	F_traV	NA
k141_769534	12732	No terminal repeats	16	11	0.9941	NA	0	9.4315	NA	NA
k141_63560	18056	No terminal repeats	23	11	0.9941	NA	5	26.2055	B_traO	NA
k141_1178675	5087	DTR	7	11	0.9941	NA	1	4.0309	NA	NA
k141_1794714	9466	No terminal repeats	15	11	0.9941	NA	0	19.6180	NA	NA
k141_2186624	3188	DTR	4	11	0.9941	NA	1	3.4296	NA	NA
k141_24056	1034	No terminal repeats	3	11	0.9941	NA	1	3.2636	NA	NA
k141_1271700	28211	No terminal repeats	32	11	0.9941	NA	17	31.0394	MOBH;G_tfc19;G_tfc18;G_tfc22;G_tfc23;G_tfc24;virb4;G_tfc15;G_tfc14;G_tfc13;G_tfc12;G_tfc11;G_tfc10;G_tfc9;G_tfc8;G_tfc7;t4cp1;G_tfc5;T_virB1;G_tfc3;G_tfc2	NA
k141_1407848	2174	No terminal repeats	4	11	0.9941	NA	1	2.5929	NA	NA
k141_1149167	1349	No terminal repeats	5	11	0.9941	NA	5	6.5345	G_tfc8;G_tfc9;G_tfc10;G_tfc11;G_tfc12	NA
k141_187880	2229	No terminal repeats	3	11	0.9940	NA	2	3.2077	MOBQ	NA
k141_1185702	5779	No terminal repeats	8	11	0.9940	NA	0	5.0549	NA	NA
k141_2061051	4015	No terminal repeats	8	11	0.9940	NA	2	4.5190	NA	NA
k141_2184630	6786	No terminal repeats	5	11	0.9940	NA	0	4.7810	NA	NA
k141_2186789	2412	DTR	4	11	0.9940	NA	2	3.4267	NA	NA
k141_1149691	1810	No terminal repeats	3	11	0.9940	NA	2	4.4475	T_virB5	NA
k141_564756	3987	No terminal repeats	5	11	0.9940	NA	2	3.4366	MOBP1	NA
k141_578560	4906	No terminal repeats	4	11	0.9940	NA	2	3.4366	MOBP1	NA
k141_947625	4276	No terminal repeats	4	11	0.9940	NA	2	3.2261	MOBQ	NA
k141_167563	6918	No terminal repeats	11	11	0.9940	NA	0	4.1779	NA	NA
k141_1096291	2274	No terminal repeats	6	11	0.9940	NA	1	6.4809	NA	NA
k141_1660291	3973	No terminal repeats	6	11	0.9940	NA	3	2.4970	MOBP1	NA
k141_233336	1189	No terminal repeats	2	11	0.9940	NA	1	2.2278	NA	NA
k141_31196	5031	No terminal repeats	7	11	0.9940	NA	0	4.8603	NA	NA
k141_106210	3076	No terminal repeats	4	11	0.9940	NA	0	2.5681	NA	NA
k141_532243	5020	No terminal repeats	6	11	0.9939	NA	2	2.2591	MOBV	NA
k141_1412942	3083	No terminal repeats	2	11	0.9939	NA	0	1.7183	NA	NA
k141_719801	3630	DTR	4	11	0.9939	NA	3	2.2496	NA	NA
k141_1356946	4055	No terminal repeats	8	11	0.9939	NA	2	7.7139	MOBQ	NA
k141_1152016	1461	No terminal repeats	3	11	0.9939	NA	2	2.9571	MOBP1	NA
k141_672347	3118	No terminal repeats	6	11	0.9939	NA	1	4.5985	NA	NA
k141_678822	2810	No terminal repeats	4	11	0.9939	NA	1	2.3952	NA	NA
k141_725156	7059	No terminal repeats	10	11	0.9939	NA	0	1.7896	NA	NA
k141_1450331	2071	No terminal repeats	6	11	0.9939	NA	1	5.0499	NA	NA
k141_783477	4650	No terminal repeats	7	11	0.9939	NA	2	4.2905	NA	NA
k141_557700	3941	No terminal repeats	7	11	0.9939	NA	2	4.3659	NA	NA
k141_617734	6153	DTR	7	11	0.9938	NA	2	4.9444	MOBQ	NA
k141_1965222	3963	No terminal repeats	6	11	0.9938	NA	0	5.1548	NA	NA
k141_244014	1525	No terminal repeats	2	11	0.9938	NA	1	1.9759	NA	NA
k141_98850	3898	No terminal repeats	4	11	0.9938	NA	1	2.7952	MOBQ	NA
k141_1346632	3976	No terminal repeats	8	11	0.9938	NA	1	4.3298	F_traE	NA
k141_1744289	6995	No terminal repeats	13	11	0.9938	NA	0	6.7470	NA	NA
k141_129687	15831	No terminal repeats	21	11	0.9938	NA	0	6.7019	NA	NA
k141_1142819	5086	No terminal repeats	6	11	0.9938	NA	0	8.0068	I_traY	NA
k141_154422	4073	No terminal repeats	3	11	0.9938	NA	2	2.6616	NA	NA
k141_15224	6756	No terminal repeats	2	11	0.9938	NA	0	3.3441	NA	NA
k141_1365235	10759	No terminal repeats	16	11	0.9937	NA	2	6.7746	NA	NA
k141_206816	4090	No terminal repeats	6	11	0.9937	NA	1	3.4366	NA	NA
k141_66979	12260	No terminal repeats	13	11	0.9937	NA	0	8.0371	NA	NA
k141_409507	1276	No terminal repeats	2	11	0.9937	NA	2	3.4366	MOBP1	NA
k141_1557246	2639	No terminal repeats	5	11	0.9937	NA	2	4.9444	MOBQ	NA
k141_1197684	2959	No terminal repeats	4	11	0.9937	NA	2	2.1806	NA	NA
k141_336158	4038	No terminal repeats	7	11	0.9937	NA	0	4.0605	NA	NA
k141_234620	1036	No terminal repeats	2	11	0.9937	NA	2	3.4366	MOBP1	NA
k141_542609	1133	No terminal repeats	3	11	0.9937	NA	1	3.4366	NA	NA
k141_457708	6936	No terminal repeats	9	11	0.9937	NA	2	3.0740	NA	NA
k141_1076361	2165	No terminal repeats	2	11	0.9937	NA	1	3.0072	MOBB	NA
k141_22948	6958	No terminal repeats	7	11	0.9936	NA	0	3.4366	NA	NA
k141_105192	4361	No terminal repeats	4	11	0.9936	NA	1	1.4673	NA	NA
k141_1561971	1705	No terminal repeats	2	11	0.9936	NA	1	1.7183	NA	NA
k141_54334	2628	No terminal repeats	3	11	0.9936	NA	0	2.1376	NA	NA
k141_1166630	2101	No terminal repeats	4	11	0.9936	NA	1	2.3393	MOBQ	NA
k141_199810	11033	No terminal repeats	14	11	0.9936	NA	3	12.3132	MOBH;G_tfc19;G_tfc18;G_tfc22;G_tfc23;G_tfc24	NA
k141_1154815	1924	No terminal repeats	3	11	0.9936	NA	1	3.1747	NA	NA
k141_842401	2851	No terminal repeats	3	11	0.9936	NA	2	2.3015	NA	NA
k141_1479150	2520	No terminal repeats	3	4	0.9936	NA	0	3.4366	NA	NA
k141_1984211	1657	No terminal repeats	3	11	0.9936	NA	2	3.2077	MOBQ	NA
k141_278582	5218	No terminal repeats	5	11	0.9936	NA	1	2.4601	NA	NA
k141_1441226	3890	No terminal repeats	2	11	0.9935	NA	1	1.7183	MOBF	NA
k141_1519675	1780	No terminal repeats	2	11	0.9935	NA	2	2.9936	MOBP1	NA
k141_713025	1330	No terminal repeats	2	11	0.9935	NA	2	3.1506	NA	NA
k141_1245109	5299	No terminal repeats	6	11	0.9935	NA	2	3.4366	MOBP1	NA
k141_1717690	2444	No terminal repeats	3	11	0.9935	NA	1	1.7183	NA	NA
k141_143004	3801	No terminal repeats	5	11	0.9935	NA	0	3.8739	NA	NA
k141_2109772	1308	No terminal repeats	2	11	0.9935	NA	1	2.3168	NA	NA
k141_324529	5744	No terminal repeats	3	11	0.9935	NA	0	3.3441	NA	NA
