set	sample_id	contig_id	ORF_ID	Best_Hit_ARO	ARO	Cut_Off	Best_Identities	Percentage_Length_of_Reference_Sequence	Drug_Class	Resistance_Mechanism	AMR_Gene_Family	Antibiotic	matched_to_genomad	genomad_context	chromosome_score	plasmid_score	virus_score
pilot8	ERR1713334	k141_6706	k141_6706_1 # 57 # 386 # -1 # ID=10950_1;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.518	Klebsiella pneumoniae KpnF	3004583	Strict	84.4	100.00	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	erythromycin; streptomycin; tetracycline; cefepime; ceftriaxone; rifampin; colistin A; colistin B; triclosan; benzalkonium chloride; chlorhexidine	yes	plasmid_like	0.1548	0.4915	0.3536
pilot8	ERR1713334	k141_6706	k141_6706_2 # 373 # 738 # -1 # ID=10950_2;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.432	Klebsiella pneumoniae KpnE	3004580	Strict	82.2	100.83	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	erythromycin; streptomycin; tetracycline; cefepime; ceftriaxone; rifampin; colistin A; colistin B; triclosan; benzalkonium chloride; chlorhexidine	yes	plasmid_like	0.1548	0.4915	0.3536
pilot8	ERR1713334	k141_469811	k141_469811_2 # 361 # 1224 # 1 # ID=12025_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.531	GES-5	3002334	Perfect	100.0	100.00	carbapenem; cephalosporin; penam	antibiotic inactivation	GES beta-lactamase		yes	plasmid_like	0.1597	0.675	0.1653
pilot8	ERR1713334	k141_140132	k141_140132_1 # 2 # 1975 # -1 # ID=12921_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.599	adeF	3000777	Strict	65.91	62.13	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline	yes	plasmid_like	0.274	0.46	0.2661
pilot8	ERR1713334	k141_8337	k141_8337_2 # 507 # 1292 # 1 # ID=13457_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.673	vanY gene in vanB cluster	3002956	Strict	26.94	97.39	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	vancomycin	yes	plasmid_like	0.346	0.5204	0.1336
pilot8	ERR1713334	k141_404997	k141_404997_2 # 452 # 1273 # -1 # ID=13731_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.527	bacA	3002986	Strict	99.63	100.00	peptide antibiotic	antibiotic target alteration	undecaprenyl pyrophosphate related proteins	bacitracin; bacitracin A; bacitracin B; bacitracin F	yes	chromosome_like	0.6201	0.2874	0.0925
pilot8	ERR1713334	k141_140850	k141_140850_2 # 811 # 1143 # 1 # ID=13959_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.408	qacJ	3007014	Strict	40.38	102.80	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	yes	plasmid_like	0.0663	0.7747	0.159
pilot8	ERR1713334	k141_338859	k141_338859_5 # 2831 # 3988 # 1 # ID=14115_5;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.546	mdtE	3000795	Perfect	100.0	100.00	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	erythromycin; cloxacillin; oxacillin; norfloxacin	yes	plasmid_like	0.1555	0.734	0.1105
pilot8	ERR1713334	k141_9527	k141_9527_2 # 208 # 1038 # -1 # ID=15304_2;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.626	vanY gene in vanB cluster	3002956	Strict	31.18	102.99	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	vancomycin	yes	chromosome_like	0.5165	0.3508	0.1327
pilot8	ERR1713334	k141_274171	k141_274171_2 # 290 # 1849 # -1 # ID=16016_2;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.321	vanT gene in vanG cluster	3002972	Strict	33.33	72.89	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	yes	chromosome_like	0.7491	0.1313	0.1196
pilot8	ERR1713334	k141_408628	k141_408628_3 # 1140 # 1472 # -1 # ID=19573_3;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.511	qacL	3005098	Strict	98.18	100.00	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump		yes	plasmid_like	0.0794	0.8205	0.1001
pilot8	ERR1713334	k141_12446	k141_12446_3 # 1996 # 5136 # -1 # ID=19812_3;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.610	adeF	3000777	Strict	43.49	98.77	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline	yes	chromosome_like	0.4677	0.443	0.0893
pilot8	ERR1713334	k141_342786	k141_342786_1 # 652 # 1365 # 1 # ID=20039_1;partial=01;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.289	Erm(52)	3007041	Strict	99.58	77.02	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase	clindamycin	yes	plasmid_like	0.2752	0.5227	0.2021
pilot8	ERR1713334	k141_276897	k141_276897_1 # 279 # 1205 # 1 # ID=20179_1;partial=01;start_type=TTG;rbs_motif=AAA;rbs_spacer=14bp;gc_cont=0.562	vanW gene in vanI cluster	3003724	Strict	30.0	82.84	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	vancomycin; teicoplanin	yes	chromosome_like	0.4303	0.4046	0.1651
pilot8	ERR1713334	k141_211714	k141_211714_3 # 2010 # 2852 # 1 # ID=20956_3;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=11bp;gc_cont=0.374	OXA-58	3001611	Perfect	100.0	100.00	carbapenem; cephalosporin; penam	antibiotic inactivation	OXA beta-lactamase	cloxacillin; oxacillin; cefalotin	yes	plasmid_like	0.1594	0.7922	0.0484
pilot8	ERR1713334	k141_146179	k141_146179_4 # 2641 # 3849 # -1 # ID=22375_4;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.553	mdtH	3001216	Perfect	100.0	100.00	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump	enoxacin; norfloxacin	yes	plasmid_like	0.0951	0.8495	0.0555
pilot8	ERR1713334	k141_212596	k141_212596_3 # 967 # 1896 # 1 # ID=22430_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.683	vanY gene in vanB cluster	3002956	Strict	34.93	115.30	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	vancomycin	yes	chromosome_like	0.4808	0.4484	0.0708
pilot8	ERR1713334	k141_278324	k141_278324_16 # 15004 # 16071 # -1 # ID=22472_16;partial=00;start_type=ATG;rbs_motif=GGTG;rbs_spacer=7bp;gc_cont=0.507	vanG	3002909	Strict	42.17	101.72	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; Van ligase	vancomycin	yes	chromosome_like	0.9697	0.0206	0.0097
pilot8	ERR1713334	k141_212656	k141_212656_2 # 1861 # 2829 # -1 # ID=22510_2;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.506	PmrF	3003578	Strict	99.38	100.00	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase	polymyxin B	yes	virus_like	0.196	0.3971	0.4069
pilot8	ERR1713334	k141_344616	k141_344616_2 # 1351 # 2508 # -1 # ID=22807_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.526	AcrE	3000499	Strict	99.74	100.00	fluoroquinolone antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	ciprofloxacin	yes	plasmid_like	0.0614	0.8853	0.0533
pilot8	ERR1713334	k141_344616	k141_344616_3 # 2907 # 3569 # 1 # ID=22807_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.442	AcrS	3000656	Strict	99.55	100.00	fluoroquinolone antibiotic; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	tigecycline; ciprofloxacin; tetracycline; rifampin; chloramphenicol; ampicillin; cefalotin; triclosan	yes	plasmid_like	0.0614	0.8853	0.0533
pilot8	ERR1713334	k141_80662	k141_80662_1 # 3 # 920 # 1 # ID=23263_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.626	vanY gene in vanG cluster	3002959	Strict	40.4	109.32	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	vancomycin	yes	virus_like	0.3384	0.3021	0.3595
pilot8	ERR1713334	k141_146847	k141_146847_2 # 459 # 1271 # 1 # ID=23365_2;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.597	vanY gene in vanF cluster	3002958	Strict	34.62	92.15	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	vancomycin	yes	plasmid_like	0.4318	0.465	0.1032
pilot8	ERR1713334	k141_147268	k141_147268_1 # 1 # 648 # 1 # ID=24016_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.633	vanY gene in vanB cluster	3002956	Strict	33.33	80.22	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	vancomycin	yes	virus_like	0.0522	0.4494	0.4984
pilot8	ERR1713334	k141_279374	k141_279374_8 # 9717 # 10787 # 1 # ID=24134_8;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.289	vanT gene in vanG cluster	3002972	Strict	33.79	50.00	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	yes	chromosome_like	0.8353	0.1072	0.0575
pilot8	ERR1713334	k141_411952	k141_411952_1 # 1 # 1272 # -1 # ID=24541_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.310	vanW gene in vanI cluster	3003724	Strict	32.74	113.67	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	vancomycin; teicoplanin	yes	chromosome_like	0.3909	0.2942	0.3149
pilot8	ERR1713334	k141_280019	k141_280019_1 # 140 # 1240 # -1 # ID=25198_1;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.557	vanT gene in vanG cluster	3002972	Strict	33.33	51.40	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	yes	plasmid_like	0.2107	0.6631	0.1261
pilot8	ERR1713334	k141_347112	k141_347112_3 # 1306 # 3867 # 1 # ID=26522_3;partial=00;start_type=GTG;rbs_motif=AAAA;rbs_spacer=3bp;gc_cont=0.366	vanT gene in vanG cluster	3002972	Strict	35.31	119.80	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	yes	chromosome_like	0.9734	0.0191	0.0075
pilot8	ERR1713334	k141_17049	k141_17049_5 # 2258 # 3463 # -1 # ID=26919_5;partial=00;start_type=ATG;rbs_motif=AAA;rbs_spacer=10bp;gc_cont=0.413	Mef(En2)	3004659	Strict	99.5	100.00	macrolide antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump		yes	plasmid_like	0.0024	0.9926	0.005
pilot8	ERR1713334	k141_479615	k141_479615_2 # 487 # 1299 # 1 # ID=27052_2;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.619	vanY gene in vanF cluster	3002958	Strict	34.97	92.15	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	vancomycin	yes	plasmid_like	0.3604	0.4327	0.2069
pilot8	ERR1713334	k141_414417	k141_414417_7 # 6156 # 6503 # -1 # ID=28314_7;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.635	qacG	3007015	Strict	40.38	107.48	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	yes	chromosome_like	0.9058	0.0766	0.0176
pilot8	ERR1713334	k141_150379	k141_150379_9 # 6022 # 6777 # 1 # ID=28949_9;partial=01;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.331	vanW gene in vanG cluster	3002965	Strict	28.57	89.68	glycopeptide antibiotic	antibiotic target alteration	vanW; glycopeptide resistance gene cluster	vancomycin	yes	plasmid_like	0.2597	0.6966	0.0436
pilot8	ERR1713334	k141_282751	k141_282751_1 # 1 # 1791 # 1 # ID=29307_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.635	adeF	3000777	Strict	72.09	56.37	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump	tetracycline	yes	chromosome_like	0.7374	0.1332	0.1295
pilot8	ERR1713334	k141_84710	k141_84710_5 # 10546 # 12519 # 1 # ID=29703_5;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.396	tet(Q)	3000191	Strict	96.65	100.00	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein	tetracycline; doxycycline; minocycline; chlortetracycline; demeclocycline; oxytetracycline	yes	plasmid_like	0.0645	0.861	0.0745
pilot8	ERR1713334	k141_150884	k141_150884_6 # 3384 # 3731 # 1 # ID=29725_6;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.379	qacJ	3007014	Strict	44.66	108.41	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	yes	plasmid_like	0.0939	0.862	0.0441
pilot8	ERR1713334	k141_152298	k141_152298_4 # 1962 # 3158 # 1 # ID=32019_4;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.649	vanT gene in vanG cluster	3002972	Strict	33.51	55.90	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanT	vancomycin	yes	plasmid_like	0.412	0.4813	0.1067
pilot8	ERR1713334	k141_152604	k141_152604_2 # 253 # 582 # -1 # ID=32496_2;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=6bp;gc_cont=0.297	qacJ	3007014	Strict	50.94	101.87	disinfecting agents and antiseptics	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump	benzalkonium chloride	yes	chromosome_like	0.509	0.4609	0.0301
pilot8	ERR1713334	k141_152832	k141_152832_4 # 4323 # 5318 # 1 # ID=32791_4;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.590	vanH gene in vanO cluster	3002948	Strict	42.17	94.57	glycopeptide antibiotic	antibiotic target alteration	vanH; glycopeptide resistance gene cluster	vancomycin	yes	chromosome_like	0.5569	0.3597	0.0834
pilot8	ERR1713334	k141_86870	k141_86870_1 # 94 # 912 # -1 # ID=32810_1;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.648	vanY gene in vanB cluster	3002956	Strict	32.58	101.49	glycopeptide antibiotic	antibiotic target alteration	vanY; glycopeptide resistance gene cluster	vancomycin	yes	chromosome_like	0.73	0.2047	0.0653
